timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Filename,Latency,Encoding,SampleCount,ErrorCount,Hostname,IdleTime,Connect
1601652352749,0,connect_to_server,200,"Number of samples in transaction : 1, number of failing samples : 0",,,true,,0,0,0,0,null,,0,ISO-8859-1,1,0,home-pc,35,0
1601652352786,0,click_clients,200,"Number of samples in transaction : 1, number of failing samples : 0",,,true,,0,0,0,0,null,,0,ISO-8859-1,1,0,home-pc,16,0
1601652352794,0,connect_to_server,200,"Number of samples in transaction : 1, number of failing samples : 0",,,true,,0,0,0,0,null,,0,ISO-8859-1,1,0,home-pc,23,0
1601652352803,0,click_guestbook,200,"Number of samples in transaction : 2, number of failing samples : 0",,,true,,0,0,0,0,null,,0,ISO-8859-1,1,0,home-pc,46,0
1601652352818,0,click_guestbook,200,"Number of samples in transaction : 2, number of failing samples : 0",,,true,,0,0,0,0,null,,0,ISO-8859-1,1,0,home-pc,33,0
1601652352849,0,create_COMMENT,200,"Number of samples in transaction : 2, number of failing samples : 0",,,true,,0,0,0,0,null,,0,ISO-8859-1,1,0,home-pc,17,0
1601652352749,116,UC_02_sendComment,200,"Number of samples in transaction : 6, number of failing samples : 0",UC_02_sendComment 1-1,,true,,59994,2326,1,2,null,,0,ISO-8859-1,1,0,home-pc,0,2
1601652352757,25,connect_to_server,200,,UC_02_sendComment 1-1,text,true,,22653,355,1,1,http://localhost:8080/,,24,utf-8,1,0,home-pc,0,2
1601652352787,14,click_clients,200,,UC_02_sendComment 1-1,text,true,,6135,400,1,2,http://localhost:8080/clients.html,,14,utf-8,1,0,home-pc,0,0
1601652352803,15,click_guestbook_1,200,,UC_02_sendComment 1-1,text,true,,4112,395,1,2,http://localhost:8080/guestbook.html,,15,utf-8,1,0,home-pc,0,0
1601652352819,29,click_guestbook_2,200,,UC_02_sendComment 1-1,text,true,,13391,344,1,2,http://localhost:8080/service/guestbook,,29,UTF-8,1,0,home-pc,0,0
1601652352850,6,create_COMMENT_1,200,,UC_02_sendComment 1-1,text,true,,274,514,1,2,http://localhost:8080/service/guestbook,,6,UTF-8,1,0,home-pc,0,0
1601652352856,9,create_COMMENT_2,200,,UC_02_sendComment 1-1,text,true,,13429,318,1,2,http://localhost:8080/service/guestbook,,9,UTF-8,1,0,home-pc,0,0
1601652352868,0,connect_to_server,200,"Number of samples in transaction : 1, number of failing samples : 0",,,true,,0,0,0,0,null,,0,ISO-8859-1,1,0,home-pc,13,0
1601652352881,0,click_clients,200,"Number of samples in transaction : 1, number of failing samples : 0",,,true,,0,0,0,0,null,,0,ISO-8859-1,1,0,home-pc,11,0
1601652352892,0,click_guestbook,200,"Number of samples in transaction : 2, number of failing samples : 0",,,true,,0,0,0,0,null,,0,ISO-8859-1,1,0,home-pc,29,0
1601652352921,0,create_COMMENT,200,"Number of samples in transaction : 2, number of failing samples : 0",,,true,,0,0,0,0,null,,0,ISO-8859-1,1,0,home-pc,28,0
1601652352868,81,UC_02_sendComment,200,"Number of samples in transaction : 6, number of failing samples : 0",UC_02_sendComment 1-1,,true,,60137,2516,1,2,null,,0,ISO-8859-1,1,0,home-pc,0,0
1601652352868,12,connect_to_server,200,,UC_02_sendComment 1-1,text,true,,22653,355,1,2,http://localhost:8080/,,11,utf-8,1,0,home-pc,0,0
1601652352881,10,click_clients,200,,UC_02_sendComment 1-1,text,true,,6135,400,1,2,http://localhost:8080/clients.html,,10,utf-8,1,0,home-pc,0,0
1601652352892,10,click_guestbook_1,200,,UC_02_sendComment 1-1,text,true,,4112,395,1,2,http://localhost:8080/guestbook.html,,10,utf-8,1,0,home-pc,0,0
1601652352903,17,click_guestbook_2,200,,UC_02_sendComment 1-1,text,true,,13429,344,1,2,http://localhost:8080/service/guestbook,,17,UTF-8,1,0,home-pc,0,0
1601652352921,18,create_COMMENT_1,200,,UC_02_sendComment 1-1,text,true,,274,704,1,2,http://localhost:8080/service/guestbook,,18,UTF-8,1,0,home-pc,0,0
1601652352940,9,create_COMMENT_2,200,,UC_02_sendComment 1-1,text,true,,13534,318,1,2,http://localhost:8080/service/guestbook,,9,UTF-8,1,0,home-pc,0,0
1601652352794,187,UC_03_clearGuestbookHistory,200,"Number of samples in transaction : 4, number of failing samples : 0",UC_03_clearGuestbookHistory 2-1,,true,,40167,1094,1,2,null,,0,ISO-8859-1,1,0,home-pc,307,131
1601652352798,18,connect_to_server,200,,UC_03_clearGuestbookHistory 2-1,text,true,,22653,355,1,2,http://localhost:8080/,,18,utf-8,1,0,home-pc,0,1
1601652352819,10,click_guestbook_1,200,,UC_03_clearGuestbookHistory 2-1,text,true,,4112,395,1,2,http://localhost:8080/guestbook.html,,10,utf-8,1,0,home-pc,0,0
1601652352831,17,click_guestbook_2,200,,UC_03_clearGuestbookHistory 2-1,text,true,,13391,344,1,2,http://localhost:8080/service/guestbook,,17,UTF-8,1,0,home-pc,0,0
1601652352853,142,JDBC_DELETE_BOOK,200,OK,UC_03_clearGuestbookHistory 2-1,text,true,,11,0,1,2,null,,142,UTF-8,1,0,home-pc,0,130
1601652353289,0,connect_to_server,200,"Number of samples in transaction : 1, number of failing samples : 0",,,true,,0,0,0,0,null,,0,ISO-8859-1,1,0,home-pc,13,0
1601652353302,0,click_guestbook,200,"Number of samples in transaction : 2, number of failing samples : 0",,,true,,0,0,0,0,null,,0,ISO-8859-1,1,0,home-pc,15,0
1601652353289,26,UC_03_clearGuestbookHistory,200,"Number of samples in transaction : 3, number of failing samples : 0",UC_03_clearGuestbookHistory 2-1,,true,,27037,1094,1,2,null,,0,ISO-8859-1,1,0,home-pc,3,0
1601652353289,12,connect_to_server,200,,UC_03_clearGuestbookHistory 2-1,text,true,,22653,355,1,2,http://localhost:8080/,,12,utf-8,1,0,home-pc,0,0
1601652353302,9,click_guestbook_1,200,,UC_03_clearGuestbookHistory 2-1,text,true,,4112,395,1,2,http://localhost:8080/guestbook.html,,9,utf-8,1,0,home-pc,0,0
1601652353311,5,click_guestbook_2,200,,UC_03_clearGuestbookHistory 2-1,text,true,,272,344,1,2,http://localhost:8080/service/guestbook,,5,UTF-8,1,0,home-pc,0,0
1601652352950,0,connect_to_server,200,"Number of samples in transaction : 1, number of failing samples : 0",,,true,,0,0,0,0,null,,0,ISO-8859-1,1,0,home-pc,513,0
