timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,SampleCount,ErrorCount,Hostname,IdleTime,Connect
1601741122312,50120,localhost Disks I/O unit=mb:available,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601741122313,3903,localhost CPU user,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601741122313,44444,localhost Memory usedperc,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601741122313,0,localhost Network I/O unit=kb:bytesrecv,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601741123315,50120,localhost Disks I/O unit=mb:available,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601741123315,19695,localhost CPU user,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601741123315,44619,localhost Memory usedperc,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601741123315,1195,localhost Network I/O unit=kb:bytesrecv,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601741124317,50120,localhost Disks I/O unit=mb:available,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601741124317,17153,localhost CPU user,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601741124317,44679,localhost Memory usedperc,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601741124317,0,localhost Network I/O unit=kb:bytesrecv,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601741125319,50120,localhost Disks I/O unit=mb:available,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601741125319,3688,localhost CPU user,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601741125319,44697,localhost Memory usedperc,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601741125319,0,localhost Network I/O unit=kb:bytesrecv,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601741126321,50120,localhost Disks I/O unit=mb:available,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601741126321,1372,localhost CPU user,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601741126321,44681,localhost Memory usedperc,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601741126321,1587,localhost Network I/O unit=kb:bytesrecv,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601741127322,50120,localhost Disks I/O unit=mb:available,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601741127322,3698,localhost CPU user,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601741127322,44659,localhost Memory usedperc,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601741127322,0,localhost Network I/O unit=kb:bytesrecv,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601741128324,50119,localhost Disks I/O unit=mb:available,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601741128324,3897,localhost CPU user,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601741128324,44646,localhost Memory usedperc,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601741128324,23671,localhost Network I/O unit=kb:bytesrecv,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601741129325,50119,localhost Disks I/O unit=mb:available,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601741129325,1174,localhost CPU user,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601741129325,44656,localhost Memory usedperc,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601741129325,2835,localhost Network I/O unit=kb:bytesrecv,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601741130326,50119,localhost Disks I/O unit=mb:available,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601741130326,1559,localhost CPU user,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601741130326,44656,localhost Memory usedperc,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
1601741130326,328,localhost Network I/O unit=kb:bytesrecv,,,,,true,,0,0,0,0,null,0,1,0,home-pc,0,0
