timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1601665983974,0,connect_to_server,200,"Number of samples in transaction : 1, number of failing samples : 0",,,true,,0,0,0,0,null,0,38,0
1601665984016,0,connect_to_server,200,"Number of samples in transaction : 1, number of failing samples : 0",,,true,,0,0,0,0,null,0,25,0
1601665984018,0,click_clients,200,"Number of samples in transaction : 1, number of failing samples : 0",,,true,,0,0,0,0,null,0,23,0
1601665984043,0,click_guestbook,200,"Number of samples in transaction : 2, number of failing samples : 0",,,true,,0,0,0,0,null,0,52,0
1601665984069,0,click_guestbook,200,"Number of samples in transaction : 2, number of failing samples : 0",,,true,,0,0,0,0,null,0,31,0
1601665984101,0,create_COMMENT,200,"Number of samples in transaction : 2, number of failing samples : 0",,,true,,0,0,0,0,null,0,28,0
1601665983973,156,UC_02_sendComment,200,"Number of samples in transaction : 6, number of failing samples : 0",UC_02_sendComment 1-1,,true,,58470,2308,1,2,null,0,0,3
1601665983980,28,connect_to_server,200,,UC_02_sendComment 1-1,text,true,,22653,355,1,1,http://localhost:8080/,28,0,3
1601665984019,18,click_clients,200,,UC_02_sendComment 1-1,text,true,,6135,400,1,2,http://localhost:8080/clients.html,18,0,0
1601665984070,12,click_guestbook_1,200,,UC_02_sendComment 1-1,text,true,,4112,395,1,2,http://localhost:8080/guestbook.html,12,0,0
1601665984084,15,click_guestbook_2,200,,UC_02_sendComment 1-1,text,true,,12630,344,1,2,http://localhost:8080/service/guestbook,15,0,0
1601665984101,13,create_COMMENT_1,200,,UC_02_sendComment 1-1,text,true,,274,496,1,2,http://localhost:8080/service/guestbook,13,0,0
1601665984115,14,create_COMMENT_2,200,,UC_02_sendComment 1-1,text,true,,12666,318,1,2,http://localhost:8080/service/guestbook,13,0,0
1601665984132,0,connect_to_server,200,"Number of samples in transaction : 1, number of failing samples : 0",,,true,,0,0,0,0,null,0,13,0
1601665984146,0,click_clients,200,"Number of samples in transaction : 1, number of failing samples : 0",,,true,,0,0,0,0,null,0,12,0
1601665984158,0,click_guestbook,200,"Number of samples in transaction : 2, number of failing samples : 0",,,true,,0,0,0,0,null,0,25,0
1601665984183,0,create_COMMENT,200,"Number of samples in transaction : 2, number of failing samples : 0",,,true,,0,0,0,0,null,0,30,0
1601665984132,81,UC_02_sendComment,200,"Number of samples in transaction : 6, number of failing samples : 0",UC_02_sendComment 1-1,,true,,58626,2563,1,2,null,0,0,0
1601665984133,12,connect_to_server,200,,UC_02_sendComment 1-1,text,true,,22653,355,1,2,http://localhost:8080/,12,0,0
1601665984146,11,click_clients,200,,UC_02_sendComment 1-1,text,true,,6135,400,1,2,http://localhost:8080/clients.html,11,0,0
